president,datetime,sentiment,tweet,genderpronoun
Obama,7/03/2012 0:00,0.8,President Obama on defending Sandra Fluke: “I wanted Sandra to know that I thought her parents should be proud of her.”http://OFA.BO/HY4P1k ,her
Obama,10/03/2012 0:00,0,"Over dinner, President Obama told Scott who he  ’d want to work for if he  wasn't President—sports fans can't miss this:http://OFA.BO/aHS7Gh ",he
Obama,12/03/2012 0:00,0,Bonnie's 23-year-old daughter was diagnosed with cancer. She wrote a letter everyone needs to read: http://OFA.BO/DQqKFL  #ACA,she
Obama,14/03/2012 0:00,0,Mitt Romney said he  would “get rid” of Planned Parenthood. Stand with the  President in support of women's he alth:http://OFA.BO/ypb8Uo ,he
Obama,18/03/2012 0:00,0,See what happened whe n Jim from Ohio found out he  gets to have dinner with President Obama: http://OFA.BO/q8jG6e  #DinnerWithBarack,he
Obama,21/03/2012 0:00,0.333333333,"The President’s bracket puts him in the 98th percentile—just lucky, we guess: http://OFA.BO/Pm45oK  #humblebrag",him
Obama,2/04/2012 0:00,0,POTUS on why he  stands with Planned Parenthood: “Protecting women’s he alth is a mission that stands above politics.” http://OFA.BO/he EvCW ,he
Obama,5/04/2012 0:00,0,So what's Romney hiding? Tweet @MittRomney to demand he  release his tax returns. #WhatsRomneyHiding,he
Obama,11/04/2012 0:00,0,Mitt Romney has millions stored in offshore tax havens like the  Cayman Islands. RT if you agree he  should close the m: http://OFA.BO/7popSt ,he
Obama,14/04/2012 0:00,0.433333333,Bo's got three years under his collar as the First Dog. Wish him a happy anniversary as a member of the First Family: http://OFA.BO/mfsJxa ,him
Obama,24/04/2012 0:00,0,"RT @Obama2012: POTUS: “I am only standing here today, Miche lle is only who she is today, because of scholarships and student loans.”",she
Obama,30/04/2012 0:00,0,Last call for Clooney's—today is the  last day you can enter to be George's guest whe n he  hosts the  President in May: http://OFA.BO/XC9V2f ,he
Obama,5/05/2012 0:00,0,"""Barack cannot do this alone … he  never has. We have always moved this country forward together.""—First Lady @Miche lleObama",he
Obama,14/05/2012 0:00,0,Another way President Obama supports equal rights: he  supports therepeal of DOMA.pic.twitter.com/CigUMm6o,he
Obama,16/05/2012 0:00,0.6,President Obama: “Every woman should be in charge of the decisions that affect her own he alth.” http://OFA.BO/4pA932  #PromiseKept,her
Obama,18/05/2012 0:00,0,"Mitt Romney stands by what he  said, “whatever it was”:http://OFA.BO/GHwVJJ ",he
Obama,18/05/2012 0:00,0.25,"Sarah Jessica Parker is hosting the President and First Lady at her home in NYC, and you could be on the guest list: http://OFA.BO/4NJ4ko ",her
Obama,26/05/2012 0:00,0,"Three years after President Obama nominated Sonia Sotomayor to the Supreme Court, her story still inspires:http://OFA.BO/Z5obNH ",her
Obama,30/05/2012 0:00,0,President Obama signs one of Luz’s drawings during her family’s visit to the White House:pic.twitter.com/JcQEfxiT,her
